idFE,frameName,feName,coreType
8883,Abandonment,Abandonment.Agent,cty_core
8884,Abandonment,Abandonment.Theme,cty_core
8885,Abandonment,Abandonment.Place,cty_peripheral
8886,Abandonment,Abandonment.Time,cty_peripheral
8887,Abandonment,Abandonment.Manner,cty_peripheral
8888,Abandonment,Abandonment.Duration,cty_peripheral
8889,Abandonment,Abandonment.Explanation,cty_extra-thematic
8890,Abandonment,Abandonment.Depictive,cty_extra-thematic
8891,Abandonment,Abandonment.Degree,cty_peripheral
8892,Abandonment,Abandonment.Means,cty_peripheral
8893,Abandonment,Abandonment.Purpose,cty_peripheral
8894,Abandonment,Abandonment.Event_description,cty_extra-thematic
2492,Abounding_with,Abounding_with.Theme,cty_core
2493,Abounding_with,Abounding_with.Location,cty_core
2494,Abounding_with,Abounding_with.Degree,cty_peripheral
2495,Abounding_with,Abounding_with.Depictive,cty_extra-thematic
2496,Abounding_with,Abounding_with.Time,cty_peripheral
4786,Absorb_heat,Absorb_heat.Entity,cty_core
4787,Absorb_heat,Absorb_heat.Container,cty_core
4788,Absorb_heat,Absorb_heat.Heat_source,cty_core
4789,Absorb_heat,Absorb_heat.Place,cty_peripheral
4790,Absorb_heat,Absorb_heat.Medium,cty_peripheral
4791,Absorb_heat,Absorb_heat.Manner,cty_peripheral
4792,Absorb_heat,Absorb_heat.Time,cty_peripheral
4793,Absorb_heat,Absorb_heat.Explanation,cty_extra-thematic
4794,Absorb_heat,Absorb_heat.Temperature,cty_peripheral
4795,Absorb_heat,Absorb_heat.Duration,cty_peripheral
4796,Absorb_heat,Absorb_heat.Circumstances,cty_extra-thematic
4797,Absorb_heat,Absorb_heat.Purpose,cty_extra-thematic
4798,Absorb_heat,Absorb_heat.Depictive,cty_extra-thematic
4799,Absorb_heat,Absorb_heat.Result,cty_extra-thematic
7036,Abundance,Abundance.Collection,cty_core
7037,Abundance,Abundance.Quantity,cty_core
7038,Abundance,Abundance.Degree,cty_peripheral
7039,Abundance,Abundance.Time,cty_extra-thematic
7040,Abundance,Abundance.Circumstances,cty_extra-thematic
7041,Abundance,Abundance.Measure,cty_peripheral
7042,Abundance,Abundance.Place,cty_core
4174,Abusing,Abusing.Abuser,cty_core
4175,Abusing,Abusing.Victim,cty_core
4176,Abusing,Abusing.Type,cty_peripheral
4177,Abusing,Abusing.Degree,cty_extra-thematic
4178,Abusing,Abusing.Place,cty_peripheral
4179,Abusing,Abusing.Time,cty_peripheral
4180,Abusing,Abusing.Manner,cty_peripheral
4181,Abusing,Abusing.Means,cty_peripheral
4182,Abusing,Abusing.Instrument,cty_peripheral
4183,Abusing,Abusing.Purpose,cty_peripheral
4184,Abusing,Abusing.Explanation,cty_extra-thematic
4185,Abusing,Abusing.Duration,cty_peripheral
4186,Abusing,Abusing.Frequency,cty_extra-thematic
4187,Abusing,Abusing.Depictive,cty_extra-thematic
4188,Abusing,Abusing.Circumstances,cty_extra-thematic
4189,Abusing,Abusing.Period_of_iterations,cty_extra-thematic
8130,Access_scenario,Access_scenario.Theme,cty_core
8131,Access_scenario,Access_scenario.Useful_location,cty_core
8132,Access_scenario,Access_scenario.Barrier,cty_core
13419,Accident,Accident.Type,cty_peripheral
13420,Accident,Accident.Accident,cty_core
13421,Accident,Accident.Place,cty_peripheral
13422,Accident,Accident.Time,cty_peripheral
13423,Accident,Accident.Victim,cty_core
13424,Accident,Accident.Cause,cty_peripheral
13425,Accident,Accident.Description,cty_peripheral
13426,Accident_description,Accident_description.Accident,cty_core
13427,Accident_description,Accident_description.Description,cty_core
13428,Accident_description,Accident_description.Degree,cty_peripheral
11396,Accommodation,Accommodation.Lodge,cty_core
11397,Accommodation,Accommodation.Rate,cty_peripheral
11398,Accommodation,Accommodation.Type,cty_peripheral
11519,Accommodation,Accommodation.Place,cty_peripheral
11520,Accommodation,Accommodation.Tourist,cty_peripheral
11521,Accommodation,Accommodation.Purpose,cty_peripheral
2455,Accompaniment,Accompaniment.Participant,cty_core
2456,Accompaniment,Accompaniment.Co-participant,cty_core
2457,Accompaniment,Accompaniment.Participants,cty_core
6585,Accomplishment,Accomplishment.Means,cty_peripheral
6586,Accomplishment,Accomplishment.Agent,cty_core
6587,Accomplishment,Accomplishment.Instrument,cty_peripheral
6588,Accomplishment,Accomplishment.Place,cty_peripheral
6589,Accomplishment,Accomplishment.Time,cty_peripheral
6590,Accomplishment,Accomplishment.Manner,cty_peripheral
6591,Accomplishment,Accomplishment.Explanation,cty_extra-thematic
6592,Accomplishment,Accomplishment.Degree,cty_extra-thematic
6593,Accomplishment,Accomplishment.Goal,cty_core
6594,Accomplishment,Accomplishment.Outcome,cty_extra-thematic
6595,Accomplishment,Accomplishment.Circumstances,cty_extra-thematic
6596,Accomplishment,Accomplishment.Duration,cty_peripheral
6597,Accomplishment,Accomplishment.Domain,cty_extra-thematic
6598,Accomplishment,Accomplishment.Particular_iteration,cty_extra-thematic
1618,Accoutrements,Accoutrements.Wearer,cty_peripheral
1619,Accoutrements,Accoutrements.Style,cty_peripheral
1620,Accoutrements,Accoutrements.Material,cty_peripheral
1621,Accoutrements,Accoutrements.Accoutrement,cty_core
1622,Accoutrements,Accoutrements.Descriptor,cty_peripheral
1623,Accoutrements,Accoutrements.Use,cty_peripheral
1624,Accoutrements,Accoutrements.Part,cty_peripheral
1625,Accoutrements,Accoutrements.Body_location,cty_peripheral
1626,Accoutrements,Accoutrements.Creator,cty_peripheral
1627,Accoutrements,Accoutrements.Time_of_creation,cty_peripheral
1628,Accoutrements,Accoutrements.Name,cty_peripheral
8317,Accuracy,Accuracy.Agent,cty_core
8318,Accuracy,Accuracy.Target,cty_extra-thematic
8319,Accuracy,Accuracy.Outcome,cty_extra-thematic
8320,Accuracy,Accuracy.Means,cty_core
