HubNode,FrameElements
ClusterHub_0,Accoutrements.Accoutrement;Dressing.Clothing;Undressing.Clothing;Wearing.Clothing
ClusterHub_1,Bail_decision.Accused;Entering_of_plea.Accused;Notification_of_charges.Accused
ClusterHub_2,Abusing.Type;Attitude_description.Attitude;Being_questionable.Behavior;Committing_crime.Crime;Compliance.Act;Conduct.Means;Disgraceful_situation.State_of_affairs;Epidemic.fe_Epidemia_Doença;Expertise.Behavior_product;Fairness_evaluation.Action;Feigning.Means;Frugality.Behavior;Guilt_or_innocence.Misdeed;Hospitality.Behavior;Kidnapping.Event;Law.Required;Legality.Action;Meet_specifications.Event;Misdeed.Misdeed;Morality_evaluation.Behavior;Pathogen.fe_Patógenos_Doença;Praiseworthiness.Behavior;Rape.Event;Rashness.Action;Satisfying.Event;Smuggling.Event;Social_behavior_evaluation.Behavior;Social_interaction_evaluation.Behavior;Stinginess.Behavior;Strictness.Controlling_act;Treating_and_mistreating.Means;Trendiness.Behavior
ClusterHub_3,Being_at_risk.Situation;Risk_scenario.Situation;Risky_situation.Situation;Run_risk.Action
ClusterHub_4,Difficulty.Activity;Hindering.Action
ClusterHub_5,Deserving.Action;Reason.Action
ClusterHub_6,Expertise.Skill;Result_of_attempt_scenario.Goal;Subversion.Activity;Success_or_failure.Goal;Successful_action.Goal;Thwarting.Action
ClusterHub_7,Annoyance.Stimulus;Attempt_suasion.Content;Contrition.Action;Deciding.Decision;Emotion_directed.Stimulus;Emotions.Stimulus;Emotions_by_possibility.Stimulus;Emotions_by_stimulus.Stimulus;Emotions_of_mental_activity.Stimulus;Emotions_success_or_failure.Stimulus;Fear.Stimulus;Forgoing.Desirable;Holding_off_on.Desirable_action;Just_found_out.Stimulus;Manipulate_into_doing.Resulting_action;Mental_stimulus_stimulus_focus.Stimulus;Others_situation_as_stimulus.Other;Predicament.Situation;Referee_actions.Action;Stimulate_emotion.Stimulus;Suasion.Content;Subjective_experience.Event;Subjective_influence.Action;Subjective_influence.Behavior;Subjective_influence.Product;Talking_into.Content
ClusterHub_8,Partiality.Manifestation_of_bias;Protest.Action;Taking_sides.Action
ClusterHub_9,Activity.Activity;Activity_abandoned_state.Activity;Activity_done_state.Activity;Activity_finish.Activity;Activity_ongoing.Activity;Activity_pause.Activity;Activity_paused_state.Activity;Activity_resume.Activity;Activity_start.Activity;Activity_stop.Activity;Being_active.Activity;Finish_game.Game;Lively_place.Activity;Process_completed_state.Process;Process_end.Process;Process_pause.Process;Process_resume.Process;Process_stop.Process;Process_stopped_state.Process;Process_uncompleted_state.Process;Retaining.Theme
ClusterHub_10,Activity_prepare.Activity;Activity_ready_state.Activity;Be_on_alert.Activity;Process_initial_state.Process;Standing_by.Activity
ClusterHub_11,Craft.Activity;Custom.Behavior;Fields.Activity;Manner_of_life.Lifestyle
ClusterHub_12,Being_up_to_it.Activity;Rising_to_a_challenge.Activity
ClusterHub_13,Athletes_by_sport.Sport;Government_institution.Purpose;Infrastructure.Activity;Institutions.Purpose;Judicial_body.Task;Law_enforcement_agency.Purpose;Public_services.Service_action;Sports_venues.Sport;Sports_venues_subparts.Sport
ClusterHub_14,Causation.Actor;Causation.Cause;Cause_to_start.Cause;Launch_process.Agent
ClusterHub_15,Be_in_agreement_on_action.Party_2;Commitment.Addressee;Going_back_on_a_commitment.Affected_party;Having_commercial_agreement.Party_2;Make_agreement_on_action.Party_2;Make_compromise.Party_2
ClusterHub_16,Court_examination.Witness;Questioning.Addressee
ClusterHub_17,Appeal.Court;Political_actions.Institution;Request.Addressee;Request_entity.Supplier
ClusterHub_18,Agree_or_refuse_to_act.Interlocutor;Communication_response.Addressee;Respond_to_proposal.Interlocutor
ClusterHub_19,Attempt_suasion.Addressee;Deciding.Cognizer;Forgoing.Forgoer;Referee_actions.Referee;Suasion.Addressee;Talking_into.Addressee
ClusterHub_20,Telling.Addressee;Warning.Addressee
ClusterHub_21,Causation.Affected;Cause_to_start.Effect;Launch_process.Process;Process_start.Event
ClusterHub_22,Fairness_evaluation.Affected_party;Hospitality.Guest;Partiality.Sides;Social_interaction_evaluation.Affected_party;Stinginess.Recipient;Strictness.Controlled_entity
ClusterHub_23,Condition_symptom_relation.Medical_condition;Confronting_problem.Issue;Cure.Affliction;Emergency.Undesirable_event;Infecting.Infection;Institutionalization.Affliction;Medical_conditions.Ailment;Medical_interaction_scenario.Affliction;Medical_intervention.Health_condition;Medical_professionals.Affliction;Medical_specialties.Affliction;People_by_health_condition.fe_Pessoas_por_condição_médica_Condição_médica;Recovery.Affliction;Resolve_problem.Problem
ClusterHub_24,Age.Age;Irregular_combatants.Age;Noncombatant.Age;People.Age;People_along_political_spectrum.Age;People_by_age.Age;People_by_jurisdiction.Age;People_by_leisure_activity.Age;People_by_morality.Age;People_by_origin.Age;People_by_religion.Age;People_by_residence.Age
