superFE,relation,subFE
1621,using,1644
1621,using,5731
1621,using,5743
1431,precedes,1437
1437,precedes,1343
1312,using,4222
3626,see_also,7839
3626,see_also,6755
4151,using,3601
4222,using,4545
4290,using,4369
4307,causative_of,6230
4307,inheritance,5296
5243,using,996
5936,using,3385
5936,using,10100
1574,precedes,1664
1664,inheritance,10987
1664,precedes,1709
1664,precedes,1683
1664,precedes,1697
1664,using,6673
1664,using,8335
1683,inheritance,9433
1683,precedes,1855
1728,inheritance,10885
1728,precedes,1574
1728,using,10345
1735,precedes,1728
5524,precedes,1664
6048,using,5007
6341,inchoative_of,6335
6388,using,7052
6388,inheritance,12348
6,inheritance,3643
318,using,6018
318,using,6801
398,using,4263
407,inheritance,10776
407,inheritance,9888
407,inheritance,4241
419,using,7196
997,using,1023
1023,causative_of,3528
1023,using,1035
4653,inheritance,10898
4653,inheritance,1023
2,inheritance,3644
3579,inheritance,3381
3579,inheritance,907
3579,inheritance,8638
3579,inheritance,4606
3579,using,3611
511,causative_of,523
511,using,7152
511,using,10808
511,metaphorical_projection,6621
10808,using,2439
10808,using,2452
4970,using,4981
56,inheritance,2208
56,inheritance,3204
56,inheritance,1111
56,inheritance,3780
56,inheritance,566
56,inheritance,3184
56,inheritance,3234
56,inheritance,5866
56,inheritance,2972
56,inheritance,5160
56,inheritance,5472
56,inheritance,3945
56,inheritance,4762
56,inheritance,2654
56,inheritance,6139
56,inheritance,2844
56,inheritance,509
56,inheritance,3986
56,inheritance,3960
56,inheritance,7109
56,inheritance,3681
56,inheritance,3406
56,inheritance,2736
56,inheritance,4398
56,inheritance,4444
56,inheritance,923
56,inheritance,6459
56,inheritance,3974
56,inheritance,7890
56,inheritance,4487
56,inheritance,8250
56,inheritance,3409
56,inheritance,9603
56,inheritance,9501
56,inheritance,9677
56,inheritance,722
56,inheritance,701
56,inheritance,9710
56,inheritance,3066
56,inheritance,9727
56,inheritance,10351
56,inheritance,9879
56,inheritance,11194
133,using,1656
155,inheritance,2497
155,inheritance,8283
155,using,2654
155,using,8268
566,inheritance,4878
566,inheritance,2812
566,inheritance,9112
566,see_also,2283
566,see_also,651
566,see_also,701
566,see_also,722
566,see_also,633
566,subframe,701
566,subframe,722
566,using,2283
566,using,2475
701,inheritance,2535
701,inheritance,10909
701,see_also,722
701,see_also,651
701,using,5742
701,using,4894
701,using,6688
701,using,6733
701,using,9428
722,precedes,701
722,using,5730
722,using,9428
1111,inheritance,8340
1255,inheritance,2144
1255,using,4174
1255,using,10691
1255,using,7819
1294,inheritance,8220
1294,inheritance,998
1294,inheritance,9296
1294,precedes,6229
1294,inheritance,13158
1386,inheritance,2242
1386,subframe,1682
1386,subframe,1672
1386,subframe,1727
1386,subframe,1734
1386,subframe,1710
1386,subframe,1696
1386,subframe,1722
1386,subframe,1854
1386,subframe,1850
1386,subframe,1575
1386,subframe,5529
1575,precedes,1672
1672,inheritance,10986
1672,precedes,1710
1672,precedes,1682
1672,precedes,1696
1672,using,2654
1672,using,6678
1672,using,8336
1682,inheritance,9434
1682,precedes,1854
1696,inheritance,5090
1696,precedes,1722
1696,precedes,1850
1710,precedes,1850
1734,perspective_on,8495
1734,precedes,1727
1850,precedes,5529
1951,inheritance,2135
1951,inheritance,2208
1951,inheritance,2619
1951,inheritance,2693
1951,inheritance,3708
1951,inheritance,3422
1951,inheritance,745
1951,inheritance,792
1951,inheritance,1682
1951,inheritance,4924
1951,inheritance,5151
1951,inheritance,3120
1951,inheritance,3130
1951,inheritance,5277
1951,inheritance,5586
1951,inheritance,5624
1951,inheritance,6620
1951,inheritance,6611
1951,inheritance,4591
1951,inheritance,4009
1951,inheritance,4665
1951,inheritance,1344
1951,inheritance,3733
1951,inheritance,3720
1951,inheritance,3594
1951,inheritance,7735
1951,inheritance,7797
1951,inheritance,1513
1951,inheritance,7811
1951,inheritance,1210
1951,inheritance,1366
1951,inheritance,7541
1951,inheritance,1079
1951,inheritance,8386
1951,inheritance,9042
1951,inheritance,9185
1951,inheritance,10180
1951,inheritance,10598
1951,inheritance,9546
1951,inheritance,7599
1951,inheritance,8871
1951,inheritance,9800
1951,inheritance,2775
1951,using,2307
1951,using,2528
1951,using,2911
1951,using,4206
1951,using,6586
1951,using,4289
1951,using,3732
1951,using,3528
1951,using,5760
1951,using,6760
1951,using,5240
1951,using,3693
1951,using,10448
1951,inheritance,13471
1951,inheritance,13465
1951,inheritance,13518
1951,inheritance,13502
2102,inheritance,2158
2102,inheritance,2144
2102,inheritance,2177
2102,inheritance,3355
2208,inheritance,2762
2208,inheritance,2102
2208,inheritance,2514
2208,inheritance,2242
2208,inheritance,4059
2208,inheritance,1933
2208,inheritance,2356
2208,inheritance,2391
2208,inheritance,3092
2208,inheritance,2801
2208,inheritance,3813
2208,inheritance,1412
2208,inheritance,3141
2208,inheritance,5345
2208,inheritance,4894
2208,inheritance,6160
2208,inheritance,6119
2208,inheritance,7568
2208,inheritance,4198
2208,inheritance,1630
2208,inheritance,103
2208,inheritance,2422
2208,inheritance,2475
2208,inheritance,155
2208,inheritance,3032
2208,inheritance,3174
2208,inheritance,1066
2208,inheritance,3897
2208,inheritance,4422
