idFrame,idFrameElement,frameName,FrameElementName,coreType
908,8883,Abandonment,Agent,cty_core
908,8884,Abandonment,Theme,cty_core
908,8885,Abandonment,Place,cty_peripheral
908,8886,Abandonment,Time,cty_peripheral
908,8887,Abandonment,Manner,cty_peripheral
908,8888,Abandonment,Duration,cty_peripheral
908,8889,Abandonment,Explanation,cty_extra-thematic
908,8890,Abandonment,Depictive,cty_extra-thematic
908,8891,Abandonment,Degree,cty_peripheral
908,8892,Abandonment,Means,cty_peripheral
908,8893,Abandonment,Purpose,cty_peripheral
908,8894,Abandonment,Event_description,cty_extra-thematic
237,2492,Abounding_with,Theme,cty_core
237,2493,Abounding_with,Location,cty_core
237,2494,Abounding_with,Degree,cty_peripheral
237,2495,Abounding_with,Depictive,cty_extra-thematic
237,2496,Abounding_with,Time,cty_peripheral
469,4786,Absorb_heat,Entity,cty_core
469,4787,Absorb_heat,Container,cty_core
469,4788,Absorb_heat,Heat_source,cty_core
469,4789,Absorb_heat,Place,cty_peripheral
469,4790,Absorb_heat,Medium,cty_peripheral
469,4791,Absorb_heat,Manner,cty_peripheral
469,4792,Absorb_heat,Time,cty_peripheral
469,4793,Absorb_heat,Explanation,cty_extra-thematic
469,4794,Absorb_heat,Temperature,cty_peripheral
469,4795,Absorb_heat,Duration,cty_peripheral
469,4796,Absorb_heat,Circumstances,cty_extra-thematic
469,4797,Absorb_heat,Purpose,cty_extra-thematic
469,4798,Absorb_heat,Depictive,cty_extra-thematic
469,4799,Absorb_heat,Result,cty_extra-thematic
721,7036,Abundance,Collection,cty_core
721,7037,Abundance,Quantity,cty_core
721,7038,Abundance,Degree,cty_peripheral
721,7039,Abundance,Time,cty_extra-thematic
721,7040,Abundance,Circumstances,cty_extra-thematic
721,7041,Abundance,Measure,cty_peripheral
721,7042,Abundance,Place,cty_core
404,4174,Abusing,Abuser,cty_core
404,4175,Abusing,Victim,cty_core
404,4176,Abusing,Type,cty_peripheral
404,4177,Abusing,Degree,cty_extra-thematic
404,4178,Abusing,Place,cty_peripheral
404,4179,Abusing,Time,cty_peripheral
404,4180,Abusing,Manner,cty_peripheral
404,4181,Abusing,Means,cty_peripheral
404,4182,Abusing,Instrument,cty_peripheral
404,4183,Abusing,Purpose,cty_peripheral
404,4184,Abusing,Explanation,cty_extra-thematic
404,4185,Abusing,Duration,cty_peripheral
404,4186,Abusing,Frequency,cty_extra-thematic
404,4187,Abusing,Depictive,cty_extra-thematic
404,4188,Abusing,Circumstances,cty_extra-thematic
404,4189,Abusing,Period_of_iterations,cty_extra-thematic
827,8130,Access_scenario,Theme,cty_core
827,8131,Access_scenario,Useful_location,cty_core
827,8132,Access_scenario,Barrier,cty_core
1258,13419,Accident,Type,cty_peripheral
1258,13420,Accident,Accident,cty_core
1258,13421,Accident,Place,cty_peripheral
1258,13422,Accident,Time,cty_peripheral
1258,13423,Accident,Victim,cty_core
1258,13424,Accident,Cause,cty_peripheral
1258,13425,Accident,Description,cty_peripheral
1488,13426,Accident_description,Accident,cty_core
1488,13427,Accident_description,Description,cty_core
1488,13428,Accident_description,Degree,cty_peripheral
1220,11396,Accommodation,Lodge,cty_core
1220,11397,Accommodation,Rate,cty_peripheral
1220,11398,Accommodation,Type,cty_peripheral
1220,11519,Accommodation,Place,cty_peripheral
1220,11520,Accommodation,Tourist,cty_peripheral
