parent,relation,child
1,perspective_on,800
1,inheritance,351
10,causative_of,825
1005,inheritance,52
1006,perspective_on,1007
1006,perspective_on,56
1007,inheritance,53
1008,inheritance,102
1008,causative_of,62
101,subframe,98
101,subframe,539
1010,inheritance,1009
102,using,563
102,using,404
102,inheritance,199
102,using,1126
102,using,790
102,using,116
102,causative_of,1490
1027,using,85
1027,inheritance,1028
1028,using,1076
103,inheritance,348
103,using,498
103,using,809
104,using,1258
105,precedes,638
105,inheritance,837
105,inheritance,80
105,inheritance,946
105,inheritance,1436
1052,using,1059
1054,perspective_on,1052
1054,perspective_on,1053
1059,inheritance,1064
106,using,409
106,using,69
1061,using,4
107,inheritance,185
107,inheritance,186
107,inheritance,576
107,inheritance,578
107,inheritance,581
107,inheritance,582
107,using,79
107,using,970
107,using,1130
107,inheritance,1163
107,using,1123
107,inheritance,401
1078,subframe,1079
1079,inheritance,1052
1079,inheritance,1054
1083,inheritance,1067
1083,see_also,1067
109,subframe,110
109,subframe,118
109,subframe,119
109,precedes,181
1100,inheritance,1101
1107,precedes,221
1108,subframe,221
1108,subframe,1107
1108,subframe,289
113,inheritance,212
113,subframe,149
113,subframe,148
113,subframe,153
113,subframe,154
113,subframe,151
113,subframe,150
113,subframe,152
113,subframe,164
113,subframe,163
113,subframe,134
113,subframe,557
1142,using,1143
1142,causative_of,1143
1144,inheritance,1145
1159,perspective_on,1160
1159,perspective_on,1161
1166,causative_of,1169
117,using,838
117,inheritance,1135
1175,inheritance,1178
1176,inheritance,1269
1176,inheritance,1276
1176,inheritance,1272
1176,inheritance,215
1176,inheritance,1258
118,precedes,119
1180,inheritance,254
1180,inheritance,971
1180,see_also,254
1183,using,1182
1191,see_also,443
1191,see_also,146
1191,see_also,343
1194,perspective_on,1196
1194,perspective_on,1195
1194,inheritance,1198
1198,perspective_on,635
1198,perspective_on,636
12,using,251
12,inheritance,238
12,using,842
12,inheritance,843
1203,perspective_on,237
1203,perspective_on,70
1206,inchoative_of,668
1208,inheritance,1189
1208,inheritance,1194
1208,perspective_on,867
121,using,16
121,using,513
121,using,327
121,inheritance,952
121,inheritance,993
121,perspective_on,543
122,inheritance,134
122,inchoative_of,133
122,precedes,133
122,inheritance,1206
1224,precedes,1225
1224,subframe,1266
1224,subframe,1268
1229,perspective_on,1365
1229,perspective_on,1366
1236,precedes,1221
1268,precedes,1266
127,inheritance,156
127,inheritance,162
127,inheritance,619
127,inheritance,667
127,inheritance,676
127,precedes,580
127,using,983
127,using,1149
127,inheritance,1160
1275,using,431
128,inheritance,489
128,inheritance,131
128,using,554
128,inheritance,302
128,inheritance,299
128,inheritance,303
128,inheritance,499
128,using,683
128,inheritance,1021
128,inheritance,174
128,inheritance,1029
130,inheritance,128
131,using,654
132,precedes,139
132,precedes,794
132,inheritance,150
133,inheritance,239
133,inheritance,148
133,precedes,208
133,precedes,132
133,precedes,795
1337,inchoative_of,586
134,precedes,148
136,inheritance,557
136,precedes,133
1368,inheritance,842
1368,inheritance,887
1368,inheritance,973
1368,subframe,1399
1368,subframe,1369
1369,perspective_on,105
1369,perspective_on,946
1369,precedes,1399
1370,inheritance,349
1370,inheritance,840
138,inheritance,153
138,precedes,122
1380,perspective_on,366
1380,perspective_on,1372
1382,subframe,168
1382,subframe,1385
1382,subframe,1384
1385,precedes,168
1389,perspective_on,513
1389,perspective_on,1388
139,using,152
139,precedes,136
139,inheritance,163
1394,see_also,955
1394,see_also,1194
1395,inheritance,1396
1395,inheritance,1097
1395,using,1392
1395,inheritance,422
1395,using,1201
1397,using,615
1397,inheritance,1133
1397,see_also,1390
1399,perspective_on,638
1399,perspective_on,639
1399,perspective_on,422
1399,using,125
1399,perspective_on,608
1400,inheritance,469
1400,inheritance,280
1400,inheritance,906
1400,inheritance,641
1400,inheritance,1061
1401,see_also,122
1401,see_also,1402
1402,inheritance,936
1402,see_also,567
1402,inheritance,567
1402,inheritance,1401
1402,inheritance,1435
1403,perspective_on,782
1403,perspective_on,81
1403,inheritance,1126
1435,inheritance,1400
1438,perspective_on,140
1438,perspective_on,1193
1438,perspective_on,1190
148,using,251
148,using,685
148,precedes,151
148,precedes,149
148,precedes,150
148,inheritance,1163
149,precedes,164
149,inheritance,964
150,inheritance,509
150,precedes,152
150,precedes,163
151,precedes,163
153,precedes,134
153,using,1090
153,inheritance,1151
154,precedes,153
154,perspective_on,865
160,inheritance,189
160,inheritance,187
160,precedes,582
160,perspective_on,380
160,perspective_on,127
161,inheritance,188
161,inheritance,380
161,inheritance,657
161,inheritance,379
161,precedes,578
161,inheritance,155
161,inheritance,111
161,inchoative_of,107
163,precedes,557
170,inheritance,860
170,see_also,1075
177,causative_of,280
177,using,388
178,inheritance,198
178,inheritance,207
178,using,241
178,inheritance,249
178,inheritance,255
178,inheritance,356
178,using,275
178,inheritance,324
178,inheritance,58
178,inheritance,60
178,inheritance,149
178,inheritance,484
178,inheritance,519
178,inheritance,296
178,inheritance,297
178,inheritance,530
178,using,407
178,inheritance,565
178,inheritance,568
178,using,675
178,inheritance,678
178,inheritance,677
178,inheritance,450
178,using,418
178,inheritance,387
178,inheritance,457
178,inheritance,110
178,inheritance,360
178,using,360
178,inheritance,358
178,inheritance,344
178,inheritance,783
178,inheritance,788
178,inheritance,127
178,using,335
178,inheritance,789
178,using,590
178,using,692
178,inheritance,98
178,inheritance,112
178,using,527
178,using,354
178,inheritance,763
178,inheritance,86
178,inheritance,851
178,inheritance,921
178,inheritance,931
178,inheritance,1074
178,using,1102
178,inheritance,1118
178,inheritance,981
178,inheritance,907
178,inheritance,1017
178,inheritance,261
178,inheritance,1155
184,inheritance,127
184,precedes,186
185,precedes,184
185,inheritance,579
186,inheritance,580
190,subframe,186
190,subframe,185
190,subframe,184
190,inheritance,583
193,using,349
193,using,753
194,inheritance,200
194,inheritance,199
194,inheritance,202
194,inheritance,319
195,subframe,1
198,causative_of,205
20,using,653
20,using,397
205,using,595
205,using,596
205,inheritance,1016
207,inheritance,194
207,using,126
207,inheritance,240
207,inheritance,393
207,using,391
207,inheritance,177
207,inheritance,221
207,inheritance,225
207,inheritance,294
207,inheritance,263
207,inheritance,369
207,inheritance,116
207,inheritance,298
207,inheritance,481
207,inheritance,630
207,inheritance,626
207,inheritance,406
207,inheritance,145
207,inheritance,9
207,inheritance,229
207,inheritance,12
207,inheritance,289
207,inheritance,85
207,inheritance,379
207,using,241
207,inheritance,435
207,inheritance,101
207,inheritance,544
207,inheritance,949
207,inheritance,182
207,inheritance,1127
207,inheritance,862
207,inheritance,1142
207,inheritance,908
207,inheritance,1109
207,inheritance,1183
207,inheritance,1185
207,inheritance,1081
207,inheritance,961
