Lemma,Cluster
redução,1958
diminuição,1958
queda,3695
desvalorização,556
depressão,724
ajustar,940
regular,542
controlar,420
diminuir,1422
reduzir,1422
força,3237
energia,5
mecanismo,539
alavanca,1186
ferramenta,595
volume,1925
preço,3669
nível,658
temperatura,305
som,2105
abalar,3134
choque,3918
impacto,29
tremor,2520
instabilidade,1906
perturbação,213
resistência,187
oposição,847
barreira,321
obstáculo,321
fortaleza,204
movimento,410
vibração,5
pressão,639
confiança,995
estrutura,305
sistema,539
equilíbrio,2002
segurança,2387
abanar,3215
ventilação,908
arrefecimento,908
agitação,1963
circulação,410
refrescar,857
ventilar,3662
resfriar,3662
agitar,1087
arejar,3013
mão,2447
ventilador,1470
leque,2444
fogo,3079
chama,1679
calor,2728
ar,3007
pó,2047
abandonar,853
isolamento,73
desamparo,169
solidão,535
abandono,1409
descuido,1409
desistência,143
fracasso,271
desilusão,169
desinteresse,169
desapontamento,169
responsabilidade,39
compromisso,663
dever,2408
obrigação,39
vínculo,217
casa,2130
projeto,539
animal,1040
cargo,3585
família,786
abarcar,3448
abrangência,305
inclusão,1751
cobertura,219
domínio,553
controle,73
cobrir,1547
incluir,50
englobar,3448
abranger,3448
dominar,1558
área,1453
tema,2652
assunto,216
território,1317
campo,2330
abastecer,621
suprimento,1684
fornecimento,1684
abundância,1776
disponibilidade,595
reabastecimento,1684
produção,1042
importação,1682
compra,789
transporte,716
logística,1606
suprir,1138
fornecer,333
reabastecer,621
alimentar,738
prover,333
carro,3562
mercado,404
tanque,3350
loja,2359
cidade,1424
abater,3049
abatimento,143
desânimo,827
ataque,164
enfraquecimento,663
desconto,664
inimigo,1876
árvore,3337
custo,2630
abdicar,1203
renúncia,1203
cedência,219
desapego,3116
ambição,504
poder,2237
autoridade,1676
trono,2340
direito,3998
abençoar,479
proteção,2387
graça,2342
bênção,479
prosperidade,320
felicidade,320
oração,1717
fé,2560
ritual,835
cerimônia,145
pedido,1355
proteger,975
santificar,941
consagrar,181
agraciar,333
pessoa,773
casamento,1772
criança,264
alimento,738
abolir,672
mudança,917
transformação,224
progresso,294
reforma,1167
avanço,841
revolução,1123
protesto,965
demanda,1770
lei,1070
regra,1894
tradição,875
costume,875
prática,3264
abominar,1604
repulsa,49
aversão,49
ódio,3205
desprezo,169
antipatia,49
experiência,3116
conhecimento,3116
observação,1752
vivência,3116
reflexão,265
injustiça,2666
corrupção,3114
violência,2666
discriminação,2666
preconceito,2666
abordar,731
discussão,216
análise,67
debate,3888
resolução,1316
exploração,219
técnica,744
estratégia,3264
método,2884
abordagem,3264
plano,2065
questão,216
problema,1316
situação,213
aborrecer,481
irritação,522
frustração,169
desgosto,169
aborrecimento,169
tédio,3765
monotonia,1301
repetição,1301
insatisfação,169
paciência,1950
calma,2629
tranquilidade,588
serenidade,588
tolerância,187
abrandar,564
paz,2674
alívio,3092
meditação,3116
respiração,2532
descanso,1380
relaxamento,2393
tensão,639
ansiedade,1950
nervosismo,1950
estresse,755
compreensão,3116
estudo,1623
escopo,752
alcance,752
amplitude,305
extensão,305
abraçar,572
conforto,337
acolhimento,925
apoio,502
solidariedade,772
amor,1760
braços,351
corpo,2558
afeto,1586
carinho,1586
amigo,554
familiar,786
parceiro,1996
abrigar,856
amparo,3699
assistência,633
teto,1202
refúgio,511
abrigo,511
refugiado,2638
desabrigado,1252
abrir,890
acesso,22
entrada,1267
início,1486
começo,1486
descoberta,901
chave,1757
porta,3008
janela,1582
caminho,1977
oportunidade,245
caixa,3144
livro,2851
absolver,902
perdão,188
libertação,320
redenção,819
reconciliação,1906
julgamento,34
confissão,802
arrependimento,188
intercessão,224
mediação,943
culpa,3419
pecado,1190
erro,1384
acusação,1231
condenação,34
absorver,950
digestão,1312
aprendizado,392
filtração,1902
fotossíntese,3184
osmose,2885
retenção,557
assimilação,3116
integração,1906
captação,557
incorporação,1906
informação,1889
líquido,2195
nutrientes,293
abstrair,2713
pensamento,1988
filosofia,94
ciência,94
generalização,1906
simplificação,1906
teorização,3264
conceitualização,1906
conceitos,1078
ideias,3910
informações,1942
dados,1534
teorias,3466
abundar,644
fertilidade,877
excesso,1518
riqueza,1608
abusar,1651
violação,290
dominação,1676
opressão,2666
pessoas,3242
vítimas,1700
indivíduos,922
crianças,264
animais,1474
influência,323
acabar,1536
fim,2607
conclusão,1231
término,1486
cessação,1283
encerramento,143
acalentar,572
cuidado,1869
ternura,1877
acalmar,2744
sossego,588
palavras,1942
gestos,530
música,156
acamar,3633
tratamento,73
recuperação,764
repouso,1380
enfermidade,194
doença,1881
acampar,64
aventura,1390
viagem,1319
lazer,1349
natureza,800
barraca,407
fogão,1200
saco de dormir,281
lanterna,500
mochila,685
acariciar,572
mãos,3979
dedos,157
toque,2381
pele,1467
acarretar,228
problemas,1078
consequências,832
dificuldades,213
impactos,29
efeitos,29
resolver problemas,1504
mitigar riscos,1793
evitar consequências,1793
prevenir dificuldades,1793
reduzir impactos,1793
aceder,22
autorização,578
permissão,578
consentimento,663
aprovação,3074
acordo,3038
consulta,3452
uso,2616
navegação,246
solicitação,913
requerimento,913
aceitar,1728
satisfação,320
harmonia,588
