idFrame,name,description
1,Causalidade,"Uma #Causa causa um #Efeito. Alternativamente, um #Ator, um participante (implícito) de uma #Causa, pode substituir a #Causa. A entidade #Afetada pela Causalidade pode substituir a situação ou evento geral de #Efeito. Os frames que herdam o frame de Causalidade têm como pano de fundo a ideia de que algum evento é responsável pela ocorrência de outro evento (ou estado). No frame herdado, tipicamente um EF como Agente ou Causador é proposto no lugar do #Ator, mas nos frames filhos, como neste frame, o #Ator é semanticamente dependente da ideia de uma #Causa (um evento ou de forma similar, a maioria dos frames herdados perfila apenas a entidade #Afetada, não a situação #Efeito completa que é frequentemente incorporada ao quadro ou ao alvo em particular."
2,Comunicação,"Um #Comunicador transmite uma #Mensagem para um #Destinatário; o #Tópico e a #Mídia da comunicação também podem ser expressos. Este frame não inclui nenhuma especificação do método de comunicação (fala, escrita, gesto, etc.). Os frames que herdam o frame geral de Comunicação podem adicionar elaboração à #Mídia de várias maneiras (em francês, no programa de rádio, em uma letra ) ou ao Modo de comunicação (tagarelar, gritar, sussurrar ). Há também frames que não herdam todos os EFs deste frame ou não os herdam de maneira direta (como Conversação, em que o #Comunicador e o #Destinatário alternam os papéis, e geralmente são expressos por um único SP plural)."
3,Movimento,"Alguma entidade (#Tema) começa em um lugar (#Fonte) e termina em algum outro lugar (#Alvo), tendo coberto algum espaço entre os dois (#Trajetória). Alternativamente, a #Área ou #Direção em que o #Tema se move, ou a #Distância do movimento pode ser mencionada."
4,Percepção,"Um #Perceptor percebe um #Fenômeno. O frame de Percepção geral é um pano de fundo herdado de todos os frames que têm a ver com algum ser senciente respondendo a mudanças no ambiente, independentemente das modalidades sensoriais.  Os frames herdados podem especificar as modalidades (ver, ouvir, provar, cheirar), ou podem enfatizar as experiências ou atos do perceptor, ou as propriedades dos fenômenos percebidos (chocalho, batida). "
5,Reciprocidade,"Esse frame caracteriza situações com #Protagonistas em relações que podem ser vistas simetricamente. Quando os #Protagonistas são igualmente proeminentes, cada um servindo igualmente para identificar os outros, eles são expressos juntos como #Protagonistas. Quando um dos #Protagonistas serve para definir o outro (mais ou menos como um Fundo), ele é chamado de #Protagonista_2 e o outro é chamado de #Protagonista_1 (ou seja, a Figura).

Esse frame existe como pano de fundo para vários frames lexicais, incluindo Conversa, Similaridade, Trocar e Estar_anexado. Os frames mais básicos herdados deste são estados simétricos. (Por exemplo, Estar_anexado é simétrico, pois se A está anexado a B, B está anexado a A.)

Outros frames que exibem reciprocidade ou têm uma relação causativa / inativa com esse frame estático (por exemplo, Tornar-se_anexado) ou são resumos do tipo estático de vários eventos do mesmo tipo. Esse segundo tipo, no qual os eventos são realizados reciprocamente, com dois participantes iguais agindo um contra o outro, pode ser exemplificado pelo frame de Conversa, no qual duas pessoas são efetivamente falantes e destinatário em um ato conjunto de comunicação.

A característica básica desse frame, herdada pelos filhos, é a equivalência de #Protagonista_1 + #Protagonista_2 a #Protagonistas e a equivalência adicional (figura do módulo / perfil do fundo) da seguinte forma:

#Protagonista_1 em Relação com #Protagonista_2.
#Protagonista_2 em Relação com #Protagonista_1.
Relação entre #Protagonistas."
6,Ação_transitiva,"Esse frame caracteriza, em um nível muito abstrato, um #Agente ou #Causa que afeta um #Paciente. Esse frame é herdado por muitos frames de nível inferior."
7,Duplicação,"Este frame envolve um #Criador fazendo uma duplicata, a #Cópia, de alguma entidade #Original. Uma #Fonte, o local do #Original e o #Alvo, o local da #Cópia, podem ser expressos."
8,Fingir,Um #Agente age de tal forma a dar a impressão errada aos observadores que detém um #Estado_de_coisas particular.
9,Causar_fundir,"Um #Agente junta #Partes para formar um #Todo.  (As #Partes podem também ser codificadas como #Parte_1 e #Parte_2.)  Há uma relação de simetria entre os componentes que se submetem ao processo, e depois as #Partes são consumidas e não são entidades distintas que são facilmente discerníveis ou separáveis no #Todo."
10,Separar,"Essas palavras se referem a separar um #Todo em #Partes, ou separar uma parte da outra. A separação é feita por um #Agente ou #Causa e pode ser feita com base em algum #Critério."
11,Movimento_corporal,"Este frame contém palavras para movimentos ou ações que um #Agente realiza usando alguma #Parte_do_corpo. A maioria das palavras que evocam esse frame tem um movimento específico de uma parte específica do corpo associada a elas, mas algumas são mais gerais (por exemplo, movimento.v). Um número de palavras neste frame ocorre como misturas com Comunicação, em que a ação tem um #Destinatário. Um número de palavras neste frame envolve um tipo específico de movimento. Ele contém os elementos de frame #Origem, #Trajetória, #Alvo e #Área, que se originam no frame de movimento."
12,Manipulação,As palavras neste frame descrevem a manipulação de uma #Entidade por um #Agente.
13,Postura,"Um #Agente apoia seu corpo em uma #Localização específica. As ULs do frame transmitem qual parte do corpo é o #Ponto_de_contato onde o #Agente é apoiado, em que orientação o corpo se encontra e algum arranjo geral dos membros (especialmente as pernas) e do tronco."
14,Conhecimento,"Um #Pensador tem um #Conteúdo em seu conhecimento de mundo. O #Conteúdo não é necessariamente apresentado por meio de percepção imediata, mas, em vez disso, normalmente, devido à dedução de coisas perceptíveis. Em alguns casos, a dedução do  #Conteúdo está baseada implicitamente em fontes de informações (acreditar), em alguns casos baseado na lógica (pensar), e em outros casos a fonte de dedução é desconhecida (saber)."
15,Tornar-se_consciente,"As palavras neste frame têm a ver com um #Pensador acrescentando alguns #Fenômenos ao seu conhecimento de mundo. Elas são semelhantes às do frame de Chegar_a_acreditar, exceto porque este geralmente envolve raciocínio a partir de evidências. As palavras neste frame tomam objetos diretos que denotam entidades no mundo e indicam a consciência dessas entidades, sem necessariamente dar qualquer informação sobre o conteúdo da crença do #Pensador ou do conhecimento. Estas palavras também se parecem com palavras de percepção, já que muitas vezes se tornam conscientes das coisas por percebê-las."
16,Categorização,"Um #Pensador constrói um #Item como pertencente a uma certa #Categoria. Nesse processo, o #Pensador pode tanto perceber passivamente o #Item e observar que ele se encaixa nos #Critérios para a #Categoria, ou, alternativamente, examinar ativamente o #Item por determinados #Critérios que definem a #Categoria (ou um conjunto de #Categorias). A maioria dos membros desse frame podem também ser descritos como um estado cognitivo resultante do #Pensador em relação ao #Item e a #Categoria que não mais requer um uma percepção ou uma consideração existentes do #Item. Algumas ULs não permitem facilmente a interpretação estativa, e algumas ULs só permitem interpretação estativa."
17,Cogitação,"Uma pessoa, o #Pensador, pensa sobre um #Tópico por um período de tempo. Aquilo no qual ele pensa, pode ser um curso de ação que a pessoa pode tomar, ou algo mais geral."
18,Chegar_a_acreditar,"Uma pessoa (o #Pensador) chega a acreditar em algo (o #Conteúdo), algumas vezes após um processo de raciocínio. Essa mudança de crença é geralmente iniciada por uma pessoa ou uma evidência. Ocasionalmente, as palavras neste domínio são acompanhadas por frases expressando #Tópico, ou seja, o conteúdo mental do #Conteúdo."
19,Diferenciação,"As palavras neste frame têm a ver com um #Pensador estar ciente (ou não estar ciente) da diferença entre dois #Fenômenos, que podem ser expressos em conjunto ou separadamente."
20,Evidências,"A #Evidência, um fenômeno ou fato, dá suporte a uma reivindicação ou proposta de ação, a #Proposição, onde o #Domínio_de_relevância também pode ser expresso. Algumas das palavras nesse frame são palavras de comunicação usadas em um sentido epistêmico e não comunicativo."
21,Expectativa,"As palavras neste frame têm a ver com um #Pensador acreditando que algum #Fenômeno ocorrerá no futuro. Algumas palavras no frame indicam que o #Fenômeno é afirmado também como verdadeiro, enquanto outras não."
22,Propor_ideia,"Palavras neste frame têm a ver com um #Pensador criando uma nova entidade intelectual, a #Ideia. Essas palavras são semelhantes às palavras de criação física, como construir e fazer, e, em alguns casos, podem ser entendidas como metaforicamente baseadas nessas palavras. No entanto, as #Ideais neste frame são predominantemente conceituais na natureza. Compare com o frame #Inovar. Neste frame, enfatiza-se o fato de que a ideia é nova para a sociedade, enquanto Propor_ideia refere-se a um agente cognitivo #Pensador que usa o esforço mental para descobrir algo, sem qualquer implicação do impacto da idéia."
23,Julgamento,"Um #Pensador faz um julgamento sobre um #Avaliado. O julgamento pode ser positivo (e.g. respeitar) ou negativo (e.g. condenar), e essa informação é gravada nos tipos semânticos Positivos e Negativos nas Unidades Lexicais deste frame. Pode haver uma #Razão específica para o julgamento do #Pensador, ou pode haver um capacidade ou #Papel na qual o #Avaliado é julgado. Este frame é diferente do frame de Comunicação_de_julgamento, porque neste frame o #Pensador não comunica seus julgamentos com um Destinatário. Frequentemente, contudo, algumas unidades lexicais e anotação para ambas permanecem neste frame."
24,Propriedade_mental,"Os adjetivos e nomes deste frame baseiam-se todos na ideia de que características mentais ou psicológicas podem ser atribuídas a uma pessoa (o #Protagonista) por um #Juiz (geralmente implícito) com base no #Comportamento da pessoa, em sentido lato. Apesar de, em nível conceptual, tais palavras sempre atribuírem características mentais a pessoas, elas podem ser aplicadas também ao #Comportamento do #Protagonista, entendendo-se que o #Comportamento seja revelador de uma característica mental (geralmente transitória) do #Protagonista responsável por ele. Por exemplo, assim como pode-se falar de uma pessoa estúpida, pode-se também falar de uma coisa estúpida para se dizer/fazer/pensar. Ademais, pode-se mencionar tanto o #Protagonista quanto o #Comportamento, como em Foi uma burrice minha fazer isso. Algumas palavras nesse frame têm usos um pouco distintos, no sentido de que há um constituinte que expressa uma #Prática com base na qual se atribui um"
