idFrame,Frame,Frame Description,Rank,Cenário Sugerido,Cenário Descrição,Score de Similaridade,Justificativa
1,Causalidade,"Uma #Causa causa um #Efeito. Alternativamente, um #Ator, um participante (implícito) de uma #Causa, pode substituir a #Causa. A entidade #Afetada pela Causalidade pode substituir a situação ou evento geral de #Efeito. Os frames que herdam o frame de Causalidade têm como pano de fundo a ideia de que algum evento é responsável pela ocorrência de outro evento (ou estado). No frame herdado, tipicamente um EF como Agente ou Causador é proposto no lugar do #Ator, mas nos frames filhos, como neste frame, o #Ator é semanticamente dependente da ideia de uma #Causa (um evento ou de forma similar, a maioria dos frames herdados perfila apenas a entidade #Afetada, não a situação #Efeito completa que é frequentemente incorporada ao quadro ou ao alvo em particular.",1,Cenário_de_causalidade,Um evento específico (a #Causa) causa um resultado (o #Efeito).,0.6837,"Frame 'Causalidade' apresenta maior similaridade semântica com o cenário 'Cenário_de_causalidade', cuja descrição é: Um evento específico (a #Causa) causa um resultado (o #Efeito)."
1,Causalidade,"Uma #Causa causa um #Efeito. Alternativamente, um #Ator, um participante (implícito) de uma #Causa, pode substituir a #Causa. A entidade #Afetada pela Causalidade pode substituir a situação ou evento geral de #Efeito. Os frames que herdam o frame de Causalidade têm como pano de fundo a ideia de que algum evento é responsável pela ocorrência de outro evento (ou estado). No frame herdado, tipicamente um EF como Agente ou Causador é proposto no lugar do #Ator, mas nos frames filhos, como neste frame, o #Ator é semanticamente dependente da ideia de uma #Causa (um evento ou de forma similar, a maioria dos frames herdados perfila apenas a entidade #Afetada, não a situação #Efeito completa que é frequentemente incorporada ao quadro ou ao alvo em particular.",2,Cenário_de_sujeição,"Nesse frame, ocorre um #Evento e uma #Entidade é afetada por ele.",0.6715,"Frame 'Causalidade' apresenta maior similaridade semântica com o cenário 'Cenário_de_sujeição', cuja descrição é: Nesse frame, ocorre um #Evento e uma #Entidade é afetada por ele."
1,Causalidade,"Uma #Causa causa um #Efeito. Alternativamente, um #Ator, um participante (implícito) de uma #Causa, pode substituir a #Causa. A entidade #Afetada pela Causalidade pode substituir a situação ou evento geral de #Efeito. Os frames que herdam o frame de Causalidade têm como pano de fundo a ideia de que algum evento é responsável pela ocorrência de outro evento (ou estado). No frame herdado, tipicamente um EF como Agente ou Causador é proposto no lugar do #Ator, mas nos frames filhos, como neste frame, o #Ator é semanticamente dependente da ideia de uma #Causa (um evento ou de forma similar, a maioria dos frames herdados perfila apenas a entidade #Afetada, não a situação #Efeito completa que é frequentemente incorporada ao quadro ou ao alvo em particular.",3,Cenário_de_risco,"Um #Ativo está em uma #Situação específica, que tem a probabilidade de levar ou convidar a um #Evento_nocivo que afetará negativamente o #Ativo.",0.5547,"Frame 'Causalidade' apresenta maior similaridade semântica com o cenário 'Cenário_de_risco', cuja descrição é: Um #Ativo está em uma #Situação específica, que tem a probabilidade de levar ou convidar a um #Evento_nocivo que afetará negativamente o #Ativo."
2,Comunicação,"Um #Comunicador transmite uma #Mensagem para um #Destinatário; o #Tópico e a #Mídia da comunicação também podem ser expressos. Este frame não inclui nenhuma especificação do método de comunicação (fala, escrita, gesto, etc.). Os frames que herdam o frame geral de Comunicação podem adicionar elaboração à #Mídia de várias maneiras (em francês, no programa de rádio, em uma letra ) ou ao Modo de comunicação (tagarelar, gritar, sussurrar ). Há também frames que não herdam todos os EFs deste frame ou não os herdam de maneira direta (como Conversação, em que o #Comunicador e o #Destinatário alternam os papéis, e geralmente são expressos por um único SP plural).",1,Cenário_de_remoção,A cena abstrata em que um #Agente afeta uma #Fonte e um #Tema para que o #Tema acabe não co-localizado com a #Fonte.,0.5738,"Frame 'Comunicação' apresenta maior similaridade semântica com o cenário 'Cenário_de_remoção', cuja descrição é: A cena abstrata em que um #Agente afeta uma #Fonte e um #Tema para que o #Tema acabe não co-localizado com a #Fonte."
2,Comunicação,"Um #Comunicador transmite uma #Mensagem para um #Destinatário; o #Tópico e a #Mídia da comunicação também podem ser expressos. Este frame não inclui nenhuma especificação do método de comunicação (fala, escrita, gesto, etc.). Os frames que herdam o frame geral de Comunicação podem adicionar elaboração à #Mídia de várias maneiras (em francês, no programa de rádio, em uma letra ) ou ao Modo de comunicação (tagarelar, gritar, sussurrar ). Há também frames que não herdam todos os EFs deste frame ou não os herdam de maneira direta (como Conversação, em que o #Comunicador e o #Destinatário alternam os papéis, e geralmente são expressos por um único SP plural).",2,Cenário_de_colocação,"Este frame representa a cena abstrata em que um #Agente manipula a localização de um #Tema, afetando assim um #Objetivo, que acaba co-localizado com o #Tema. Este frame é primariamente para Herança.",0.5442,"Frame 'Comunicação' apresenta maior similaridade semântica com o cenário 'Cenário_de_colocação', cuja descrição é: Este frame representa a cena abstrata em que um #Agente manipula a localização de um #Tema, afetando assim um #Objetivo, que acaba co-localizado com o #Tema. Este frame é primariamente para Herança."
2,Comunicação,"Um #Comunicador transmite uma #Mensagem para um #Destinatário; o #Tópico e a #Mídia da comunicação também podem ser expressos. Este frame não inclui nenhuma especificação do método de comunicação (fala, escrita, gesto, etc.). Os frames que herdam o frame geral de Comunicação podem adicionar elaboração à #Mídia de várias maneiras (em francês, no programa de rádio, em uma letra ) ou ao Modo de comunicação (tagarelar, gritar, sussurrar ). Há também frames que não herdam todos os EFs deste frame ou não os herdam de maneira direta (como Conversação, em que o #Comunicador e o #Destinatário alternam os papéis, e geralmente são expressos por um único SP plural).",3,Cenário_de_criação_de_nó,Um #Agente manipula um objeto longo e fino (a #Corda) e cria um #Nó.,0.5363,"Frame 'Comunicação' apresenta maior similaridade semântica com o cenário 'Cenário_de_criação_de_nó', cuja descrição é: Um #Agente manipula um objeto longo e fino (a #Corda) e cria um #Nó."
3,Movimento,"Alguma entidade (#Tema) começa em um lugar (#Fonte) e termina em algum outro lugar (#Alvo), tendo coberto algum espaço entre os dois (#Trajetória). Alternativamente, a #Área ou #Direção em que o #Tema se move, ou a #Distância do movimento pode ser mencionada.",1,Cenário_de_remoção,A cena abstrata em que um #Agente afeta uma #Fonte e um #Tema para que o #Tema acabe não co-localizado com a #Fonte.,0.7558,"Frame 'Movimento' apresenta maior similaridade semântica com o cenário 'Cenário_de_remoção', cuja descrição é: A cena abstrata em que um #Agente afeta uma #Fonte e um #Tema para que o #Tema acabe não co-localizado com a #Fonte."
3,Movimento,"Alguma entidade (#Tema) começa em um lugar (#Fonte) e termina em algum outro lugar (#Alvo), tendo coberto algum espaço entre os dois (#Trajetória). Alternativamente, a #Área ou #Direção em que o #Tema se move, ou a #Distância do movimento pode ser mencionada.",2,Cenário_de_restrição_de_movimento,"Esse cenário refere-se a um #Agente que restringe o movimento de um #Tema contra o desejo, o plano ou a tendência de ser livre. Após um período de tempo, o #Agente pode optar por liberar o #Tema, ou o #Tema pode escapar ou ser libertado por uma causa interveniente.",0.7353,"Frame 'Movimento' apresenta maior similaridade semântica com o cenário 'Cenário_de_restrição_de_movimento', cuja descrição é: Esse cenário refere-se a um #Agente que restringe o movimento de um #Tema contra o desejo, o plano ou a tendência de ser livre. Após um período de tempo, o #Agente pode optar por liberar o #Tema, ou o #Tema pode escapar ou ser libertado por uma causa interveniente."
3,Movimento,"Alguma entidade (#Tema) começa em um lugar (#Fonte) e termina em algum outro lugar (#Alvo), tendo coberto algum espaço entre os dois (#Trajetória). Alternativamente, a #Área ou #Direção em que o #Tema se move, ou a #Distância do movimento pode ser mencionada.",3,Cenário_de_colocação,"Este frame representa a cena abstrata em que um #Agente manipula a localização de um #Tema, afetando assim um #Objetivo, que acaba co-localizado com o #Tema. Este frame é primariamente para Herança.",0.6693,"Frame 'Movimento' apresenta maior similaridade semântica com o cenário 'Cenário_de_colocação', cuja descrição é: Este frame representa a cena abstrata em que um #Agente manipula a localização de um #Tema, afetando assim um #Objetivo, que acaba co-localizado com o #Tema. Este frame é primariamente para Herança."
4,Percepção,"Um #Perceptor percebe um #Fenômeno. O frame de Percepção geral é um pano de fundo herdado de todos os frames que têm a ver com algum ser senciente respondendo a mudanças no ambiente, independentemente das modalidades sensoriais.  Os frames herdados podem especificar as modalidades (ver, ouvir, provar, cheirar), ou podem enfatizar as experiências ou atos do perceptor, ou as propriedades dos fenômenos percebidos (chocalho, batida). ",1,Cenário_de_mudança_de_consciência,"Um #Experienciador toma conhecimento de algum #Fenômeno (uma situação, fato ou ideia) que antes não tinha em mente.",0.5913,"Frame 'Percepção' apresenta maior similaridade semântica com o cenário 'Cenário_de_mudança_de_consciência', cuja descrição é: Um #Experienciador toma conhecimento de algum #Fenômeno (uma situação, fato ou ideia) que antes não tinha em mente."
