Scenario Frame,Description
Cenário_ação_de_tentativa,"Esse frame representa a ação principal de uma tentativa, em que um #Agente tem uma #Meta e executa algumas ações de #Meio que eles acreditam que alcançarão a #Meta. Veja seus dois frames perspectivizados para mais informações."
Cenário_alternativo_preferido,"Nesse cenário, existem duas cenas mutuamente incompatíveis, a #Possibilidade_perfilada e a #Possibilidade_oposta, levando respectivamente a uma #Consequência_positiva preferível e a uma #Consequência_indesejável não preferível."
Cenário_condicional,"Nesta cena, duas possibilidades mutuamente excludentes são apresentadas, a #Possibilidade_perfilada e a #Possibilidade_oposta, cada uma das quais tem uma consequência associada a ela, a #Consequência (associada à #Possibilidade_perfilada) e a #Anticonsequência (associada à #Possibilidade_oposta) . Normalmente, a #Consequência e a #Anticonsequência também são mutuamente excludentes, mas em alguns casos, os mesmos resultados da #Consequência, independentemente de se considerar a #Possibilidade_perfilada ou a #Possibilidade_oposta. Nenhuma das possibilidades é afirmada e nenhuma delas pode simplesmente ser combinada com uma compreensão factual do mundo. Ambas as possibilidades são apresentadas como incertas, e a #Possibilidade_perfilada pode ser ainda mais caracterizada com uma posição neutra em relação a ela, ou com uma posição negativa duvidosa, dependendo da unidade lexical específica que introduz a condicional e que formas verbais são usadas na #Possibilidade_perfilada."
Cenário_da_história,Este frame descreve como #Eventos estão relacionados entre si e a um #Lugar e um #Tempo.
Cenário_da_saúde,"Um #Paciente interage com um ou mais Profissionais em saúde (médicos, enfermeiros e / ou paramédicos com responsabilidade pela saúde do #Paciente) para que possam determinar o estado de saúde do #Paciente e manter ou restaurar a saúde do #Paciente, conforme necessário. Normalmente, o #Paciente tem uma #Aflição, um problema médico que motiva ou exige que eles cheguem aos cuidados de um #Profissional_em_saúde. No mínimo, o #Paciente tem uma interação única com um #Profissional_em_saúde, mas geralmente o #Paciente tem uma relação com o #Profissional_em_saúde ou grupo de profissionais em saúde que têm a responsabilidade de ajudá-lo com a #Aflição específica ou com a saúde dele em geral. Tais interações normalmente ocorrem em um #Centro_de_saúde (um hospital ou consultório), mas em casos em que o #Paciente sofre uma #Aflição catastrófica repentina, o #Paciente pode ser levado aos cuidados de paramédicos, que agem como seu #Profissional_em_saúde até chegar a um centro de saúde."
Cenário_de_acesso,Um #Tema é ou não capaz de entrar ou acessar um #Local_útil por causa de / apesar de uma #Barreira.
Cenário_de_apagar_fogo,"O Cenário_de_apagar_fogo começa com #Fogo no processo, transita com a ação do #Agente para apagar o #Fogo e termina com o #Fogo tendo parado de queimar."
Cenário_de_aquisição,"Nesse cenário, o #Recipiente começa sem o #Tema e, em seguida, adquire o #Tema de uma #Fonte."
Cenário_de_caça,"Um #Caçador esforça-se e fracassa ou consegue encontrar e obter #Alimento. Esse cenário ocorre dentro do contexto de algum #Fundo no qual a preparação, a busca e o sucesso ou fracasso dele se desenrolam."
Cenário_de_causalidade,Um evento específico (a #Causa) causa um resultado (o #Efeito).
Cenário_de_colocação,"Este frame representa a cena abstrata em que um #Agente manipula a localização de um #Tema, afetando assim um #Objetivo, que acaba co-localizado com o #Tema. Este frame é primariamente para Herança."
Cenário_de_contenção,"Nessa situação, um #Recipiente contém alguns #Conteúdos. O #Recipiente tem um #Interior, um espaço que é potencialmente vazio, mas está ocupado com os #Conteúdos."
Cenário_de_criação_de_nó,Um #Agente manipula um objeto longo e fino (a #Corda) e cria um #Nó.
Cenário_de_crime,"Um (suposto) #Crime é cometido e chama a atenção das #Autoridades. Em resposta, há uma Investigação_criminal e (muitas vezes) a prisão e processos judiciais criminais. A investigação, detenção e outras partes do Processo_criminal são buscadas para encontrar um #Suspeito (que então pode entrar no Processo_criminal para se tornar o réu) e determinar se esse #Suspeito corresponde ao #Autor do #Crime, e também para determinar se as #Acusações correspondem ao #Crime. Se o #Suspeito for considerado como tendo cometido o #Crime, então ele geralmente recebe uma punição proporcional às #Acusações."
Cenário_de_desastre,"Esse frame abrange o cenário amplo para caracterizar desastres, incluindo a ocorrência de tipos específicos de desastres e a variedade de respostas a desastres.
"
